water_binder_ratio,cement_amount,fly_ash_dosage,slag_dosage,lithium_slag_dosage,composite_powder_dosage,sand_ratio,superplasticizer_dosage,has_fly_ash,has_slag,has_lithium_slag,has_composite_powder,has_superplasticizer,cement_strength_28d,cement_standard_consistency,fly_ash_activity_index,fly_ash_water_demand_ratio,slag_activity_index,slag_fluidity_ratio,lithium_slag_activity_index,lithium_slag_water_demand_ratio,composite_powder_activity_index,composite_powder_fluidity_ratio,sand_fineness_modulus,sand_mb_value,sand_mud_content,stone_crushing_value,stone_needle_flake,super_water_reducing_rate,super_solid_content,super_recommended_dosage,feature_slump,temperature,humidity,curing_age,target_strength_28d,target_slump,target_density,target_superplasticizer_dosage
0.51,209,0,15,0,20,46,1.52,0,1,0,1,1,63.1,27.2,-1,-1,106,104,-1,-1,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,1.8,220,20,95,28,37.8,-1,2400,1.52
0.51,209,0,0,15,20,46,1.8,0,0,1,1,1,63.1,27.2,-1,-1,-1,-1,90,107,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,2.6,215,20,95,28,43.1,-1,2400,1.8
0.33,346,0,0,16,10,42,2.3,0,0,1,1,1,63.1,27.2,-1,-1,-1,-1,90,107,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,2.6,235,20,95,28,72,-1,2420,2.3
0.35,342,0,10,0,13,42,1.67,0,1,0,1,1,63.1,27.2,-1,-1,106,104,-1,-1,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,1.8,235,20,95,28,63.7,-1,2420,1.67
0.35,342,0,0,10,13,42,2.1,0,0,1,1,1,63.1,27.2,-1,-1,-1,-1,79,109,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,2.6,220,20,95,28,73.5,-1,2420,2.1
0.49,200,0,0,27,15,45,1.9,0,0,1,1,1,46.8,27.6,-1,-1,-1,-1,79,109,71,98,2.9,1.1,6.7,8.4,5.3,28.3,12.63,2.6,220,20,95,28,51.9,-1,2390,1.9
0.49,200,0,0,27,15,45,1.9,0,0,1,1,1,46.8,27.6,-1,-1,-1,-1,79,109,71,98,2.9,1.1,6.7,8.4,5.3,28.3,12.63,2.6,230,20,95,28,49.5,-1,2390,1.9
0.34,337,0,11,0,13,41,2.03,0,1,0,1,1,46.8,27.6,-1,-1,118,100,-1,-1,76,106,2.9,1.1,6.7,8.4,5.3,28.3,12.63,1.8,235,20,95,28,74.6,-1,2430,2.03
0.34,337,0,11,0,13,41,2.03,0,1,0,1,1,46.8,27.6,-1,-1,118,100,-1,-1,71,98,2.9,1.1,6.7,8.4,5.3,28.3,12.63,1.8,230,20,95,28,71.1,-1,2430,2.03
0.49,200,0,0,27,15,45,1.9,0,0,1,1,1,48.1,27.3,-1,-1,-1,-1,79,109,87,103,2.8,1.2,5,7,4,28.3,12.63,2.6,215,20,95,28,34.7,-1,2390,1.9
0.34,337,0,11,0,13,42,2,0,1,0,1,1,48.1,27.3,-1,-1,118,100,-1,-1,87,103,3,1.2,4.4,7,4,28.3,12.63,1.8,230,20,95,28,56.6,-1,2430,2
0.47,202,0,0,26,17,44.3,1.9,0,0,1,1,1,52,27.2,-1,-1,-1,-1,95,104,87,103,2.8,2.2,7.1,8.1,5,28.3,12.63,2.6,220,20,95,28,52.3,-1,2391,1.9
0.47,202,0,0,26,17,44.3,2.4,0,0,1,1,1,52,27.2,-1,-1,-1,-1,95,104,87,103,2.55,0.52,10.6,8.1,5,28.3,12.63,2.6,225,20,95,28,49.5,-1,2391,2.4
0.47,202,0,0,26,17,46.1,2.1,0,0,1,1,1,52,27.2,-1,-1,-1,-1,95,104,82,100,2.85,1.4,8.9,8.1,5,28.3,12.63,2.6,230,20,95,28,50.3,-1,2391,2.1
0.45,211,0,0,30,13,44.5,1.8,0,0,1,1,1,51.2,27.2,-1,-1,-1,-1,95,104,82,100,3.1,0.25,6.4,7.4,4,28.3,12.63,2.6,225,20,95,28,53,-1,2390,1.8
0.45,211,0,0,30,13,44.5,2.1,0,0,1,1,1,51.2,27.2,-1,-1,-1,-1,95,104,82,100,3.08,0.24,6.6,7.4,4,28.3,12.63,2.6,235,20,95,28,57.9,-1,2390,2.1
0.38,410,0,0,0,0,44,2.45,0,0,0,0,1,47,27.6,-1,-1,-1,-1,-1,-1,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,1.8,220,20,95,28,62.8,-1,2440,2.45
0.38,369,0,0,10,0,44,2.8,0,0,1,0,1,47,27.6,-1,-1,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,235,20,95,28,67.2,-1,2440,2.8
0.38,349,0,0,15,0,44,3,0,0,1,0,1,47,27.6,-1,-1,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,220,20,95,28,62.6,-1,2440,3
0.38,328,0,0,20,0,44,3,0,0,1,0,1,47,27.6,-1,-1,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,74.4,-1,2440,3
0.38,308,0,0,25,0,44,3.3,0,0,1,0,1,47,27.6,-1,-1,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,63.5,-1,2440,3.3
0.38,246,30,0,10,0,44,3.3,1,0,1,0,1,47,27.6,90,102,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,235,20,95,28,69,-1,2440,3.3
0.38,246,25,0,15,0,44,3.1,1,0,1,0,1,47,27.6,90,102,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,230,20,95,28,69.5,-1,2440,3.1
0.38,246,20,0,20,0,44,3.1,1,0,1,0,1,47,27.6,90,102,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,64.1,-1,2440,3.1
0.38,246,15,0,25,0,44,3.2,1,0,1,0,1,47,27.6,90,102,-1,-1,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,75.2,-1,2440,3.2
0.38,205,0,40,10,0,44,2.08,0,1,1,0,1,47,27.6,-1,-1,111,102,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,59.8,-1,2440,2.08
0.38,205,0,35,15,0,44,2.37,0,1,1,0,1,47,27.6,-1,-1,111,102,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,230,20,95,28,66.7,-1,2440,2.37
0.38,205,0,30,20,0,44,2.45,0,1,1,0,1,47,27.6,-1,-1,111,102,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,225,20,95,28,64.8,-1,2440,2.45
0.38,205,0,25,25,0,44,2.6,0,1,1,0,1,47,27.6,-1,-1,111,102,99,108,-1,-1,3.2,1,5.8,5.8,4.1,28.57,13.21,2.6,230,20,95,28,65.6,-1,2440,2.6
0.55,300,0,0,0,0,48,1.8,0,0,0,0,1,57.7,27.6,-1,-1,-1,-1,-1,-1,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,1.8,195,20,95,28,51.1,-1,2400,1.8
0.55,270,0,0,10,0,48,2.2,0,0,1,0,1,57.7,27.6,-1,-1,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,200,20,95,28,52.3,-1,2400,2.2
0.55,255,0,0,15,0,48,2.4,0,0,1,0,1,57.7,27.6,-1,-1,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,210,20,95,28,55.9,-1,2400,2.4
0.55,240,0,0,20,0,48,2.6,0,0,1,0,1,57.7,27.6,-1,-1,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,215,20,95,28,51.4,-1,2400,2.6
0.55,225,0,0,25,0,48,2.8,0,0,1,0,1,57.7,27.6,-1,-1,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,210,20,95,28,58.6,-1,2400,2.8
0.55,180,30,0,10,0,48,2.6,1,0,1,0,1,57.7,27.6,88,102,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,215,20,95,28,51.9,-1,2400,2.6
0.55,180,25,0,15,0,48,2.6,1,0,1,0,1,57.7,27.6,88,102,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,215,20,95,28,51.9,-1,2400,2.6
0.55,180,20,0,20,0,48,2.7,1,0,1,0,1,57.7,27.6,88,102,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,210,20,95,28,54.5,-1,2400,2.7
0.55,180,15,0,25,0,48,2.8,1,0,1,0,1,57.7,27.6,88,102,-1,-1,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,205,20,95,28,50.2,-1,2400,2.8
0.55,150,0,40,10,0,48,1.62,0,1,1,0,1,57.7,27.6,-1,-1,111,102,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,205,20,95,28,48.6,-1,2400,1.62
0.55,150,0,35,15,0,48,1.8,0,1,1,0,1,57.7,27.6,-1,-1,111,102,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,210,20,95,28,52.2,-1,2400,1.8
0.55,150,0,30,20,0,48,2,0,1,1,0,1,57.7,27.6,-1,-1,111,102,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,205,20,95,28,50.9,-1,2400,2
0.55,150,0,25,25,0,48,2.2,0,1,1,0,1,57.7,27.6,-1,-1,111,102,87,107,-1,-1,3,0.4,5.9,5.8,4.1,28.57,13.21,2.6,210,20,95,28,56.4,-1,2400,2.2
0.49,200,0,0,27,15,45,1.9,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.7,0.48,4.2,7.2,6,28.57,13.21,2.6,220,20,95,28,57.5,-1,2390,1.9
0.49,200,0,0,27,15,45,1.8,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.7,0.6,8.2,7.2,6,28.57,13.21,2.6,210,20,95,28,53.7,-1,2390,1.8
0.34,335,0,0,15,10,41,2,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.9,0.4,3.7,7.2,6,28.57,13.21,2.6,240,20,95,28,76.8,-1,2430,2
0.34,335,0,0,15,10,41,2.29,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.9,0.43,8.3,7.2,6,28.57,13.21,2.6,210,20,95,28,71.1,-1,2430,2.29
0.49,200,0,0,27,15,45,1.71,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.7,0.48,4.2,8.2,6,28.57,13.21,2.6,225,20,95,28,52.6,-1,2390,1.71
0.34,335,0,0,15,10,41,2.04,0,0,1,1,1,51.7,27.5,-1,-1,-1,-1,99,108,76,107,2.9,0.4,3.7,8.2,6,28.57,13.21,2.6,230,20,95,28,76.9,-1,2430,2.04
0.49,200,0,0,27,15,45,1.8,0,0,1,1,1,50,27.3,-1,-1,-1,-1,99,108,76,107,2.7,1.46,8.8,6.2,5,28.57,13.21,2.6,240,20,95,28,50.5,-1,2390,1.8
0.52,210,0,9,25,0,45,1.74,0,1,1,0,1,53,27.2,-1,-1,108,105,99,108,-1,-1,3,0.8,6,7.9,6,28.57,13.21,2.6,210,20,95,28,42.6,-1,2390,1.74
0.31,371,0,15,0,10,40,1.82,0,1,0,1,1,53,27.2,-1,-1,108,105,-1,-1,63,99,3,0.8,6,7.9,6,28.57,13.21,1.8,230,20,95,28,64.5,-1,2449,1.82
0.45,210,0,8,35,0,45.1,1.97,0,1,1,0,1,52.9,27.1,-1,-1,101,106,101,107,-1,-1,3,0.8,5.4,8.1,5.5,31.19,11.07,2.6,210,20,95,28,69,-1,2400,1.97
0.41,210,0,0,33,15,44.1,1.93,0,0,1,1,1,52.9,27.1,-1,-1,-1,-1,101,107,80,101,3,0.8,5.4,8.1,5.5,31.19,11.07,2.6,210,20,95,28,66.3,-1,2400,1.93
0.31,371,10,15,0,0,40,2.2,1,1,0,0,1,52.9,27.1,105,88,101,106,-1,-1,-1,-1,3,0.8,5.4,8.1,5.5,31.19,11.07,1.8,225,20,95,28,77.5,-1,2449,2.2
0.31,371,0,15,0,10,40,2.03,0,1,0,1,1,52.9,27.1,-1,-1,101,106,-1,-1,80,101,3,0.8,5.4,8.1,5.5,31.19,11.07,1.8,220,20,95,28,78.1,-1,2449,2.03
0.48,206,0,0,20,20,45,1.83,0,0,1,1,1,51.7,27,-1,-1,-1,-1,97,108,80,101,2.9,0.9,6.3,8.1,5.5,31.19,11.07,2.6,205,20,95,28,44.7,-1,2390,1.83
0.38,276,0,0,17,17,41.9,1.97,0,0,1,1,1,51.7,27,-1,-1,-1,-1,97,108,80,101,2.9,0.9,6.3,8.1,5.5,31.19,11.07,2.6,225,20,95,28,58.4,-1,2400,1.97
0.33,326,0,0,15,15,40.2,2.21,0,0,1,1,1,51.7,27,-1,-1,-1,-1,97,108,80,101,2.9,0.9,6.3,8.1,5.5,31.19,11.07,2.6,230,20,95,28,70.5,-1,2420,2.21
0.29,386,0,0,13,13,37.7,2.65,0,0,1,1,1,51.7,27,-1,-1,-1,-1,97,108,80,101,2.9,0.9,6.3,8.1,5.5,31.19,11.07,2.6,235,20,95,28,74.9,-1,2440,2.65
0.48,206,0,0,20,20,45,1.83,0,0,1,1,1,51.7,27,-1,-1,-1,-1,97,108,80,101,2.9,0.9,6.3,8.1,5.5,31.19,11.07,2.6,230,20,95,28,46.5,-1,2390,1.83
0.52,220,19,13,0,0,46.5,2.2,1,1,0,0,1,52.2,27,-1,-1,104,105,-1,-1,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,220,20,95,28,53.2,-1,2400,2.2
0.42,220,0,0,44,0,42.5,2.1,0,0,1,0,1,52.2,27,-1,-1,-1,-1,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,220,20,95,28,65.4,-1,2400,2.1
0.44,220,0,0,44,0,42.5,1.92,0,0,1,0,1,52.2,27,-1,-1,-1,-1,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,210,20,95,28,68.8,-1,2400,1.92
0.47,220,0,0,44,0,42.5,1.45,0,0,1,0,1,52.2,27,-1,-1,-1,-1,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,235,20,95,28,51.2,-1,2400,1.45
0.49,220,0,0,44,0,42.5,1.28,0,0,1,0,1,52.2,27,-1,-1,-1,-1,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,220,20,95,28,53.5,-1,2400,1.28
0.45,200,0,8,40,0,42.5,1.78,0,1,1,0,1,51.2,26.8,-1,-1,106,106,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,225,20,95,28,70.9,-1,2397,1.78
0.38,259,0,8,32,0,40,2.02,0,1,1,0,1,51.2,26.8,-1,-1,106,106,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,215,20,95,28,81.4,-1,2418,2.02
0.33,319,0,8,26,0,38,2.54,0,1,1,0,1,51.2,26.8,-1,-1,106,106,91,108,-1,-1,2.8,1,5.8,7.3,5.1,30.04,7.67,1.8,235,20,95,28,85.7,-1,2438,2.54
0.47,360,0,0,0,0,46,1.8,0,0,0,0,1,51.8,27,-1,-1,-1,-1,-1,-1,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,210,20,95,28,53.2,-1,2400,1.8
0.47,306,0,0,15,0,0,2.2,0,0,1,0,1,51.8,27,-1,-1,-1,-1,92,107,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,220,20,95,28,64.7,-1,2400,2.2
0.47,252,0,0,30,0,0,2.6,0,0,1,0,1,51.8,27,-1,-1,-1,-1,92,107,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,225,20,95,28,64.9,-1,2400,2.6
0.47,198,0,0,45,0,0,2.9,0,0,1,0,1,51.8,27,-1,-1,-1,-1,92,107,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,230,20,95,28,69.5,-1,2400,2.9
0.47,144,0,0,60,0,0,3.1,0,0,1,0,1,51.8,27,-1,-1,-1,-1,92,107,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,225,20,95,28,63.8,-1,2400,3.1
0.47,90,0,0,75,0,0,3.3,0,0,1,0,1,51.8,27,-1,-1,-1,-1,92,107,-1,-1,2.9,0.8,9.9,7.3,5.1,30.04,7.67,1.8,225,20,95,28,44,-1,2400,3.3
0.47,210,0,0,17,23,45,2.1,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,99,106,82,103,2.7,0.27,6.8,8,5.7,28.1,10.37,2.6,220,20,95,28,52.9,-1,2400,2.1
0.47,210,0,0,17,23,45,2.8,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,99,106,82,103,2.5,0.55,16.1,8,5.7,28.1,10.37,2.6,230,20,95,28,55.3,-1,2400,2.8
0.47,210,0,0,17,23,45,2.6,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,99,106,82,103,2.56,0.51,14.7,8,5.7,28.1,10.37,2.6,230,20,95,28,51.6,-1,2400,2.6
0.29,434,0,0,7,10,45,2.8,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,99,106,82,103,2.9,0.25,7,8,5.7,28.1,10.37,2.6,230,20,95,28,81.3,-1,2440,2.8
0.29,434,0,0,7,10,45,2.95,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,99,106,82,103,2.74,0.3,8.4,8,5.7,28.1,10.37,2.6,230,20,95,28,76.4,-1,2440,2.95
0.47,210,15,0,17,23,45,1.9,1,0,1,1,1,52.5,26.6,85,94,-1,-1,99,106,82,103,2.76,0.34,5.6,6.2,5.3,28.1,10.37,2.6,220,20,95,28,44.1,-1,2400,1.9
0.47,210,15,0,17,23,45,2.9,1,0,1,1,1,52.5,26.6,85,94,-1,-1,99,106,82,103,2.5,0.55,16.1,6.2,5.3,28.1,10.37,2.6,230,20,95,28,55.7,-1,2400,2.9
0.29,409,10,10,0,0,39,2.4,1,1,0,0,1,52.5,26.6,85,94,112,108,-1,-1,-1,-1,3,0.35,5.7,6.2,5.3,28.1,10.37,1.8,230,20,95,28,76.2,-1,2400,2.4
0.29,409,10,10,0,0,39,2.4,1,1,0,0,1,52.5,26.6,85,94,112,108,-1,-1,-1,-1,3,0.35,5.7,6.2,5.3,28.1,10.37,1.8,230,20,95,28,81.3,-1,2400,2.4
0.47,210,0,0,17,23,45,2.9,0,0,1,1,1,52.5,26.6,-1,-1,-1,-1,107,105,93,103,2.8,0.25,8.5,6.2,5.3,28.1,10.37,2.6,230,20,95,28,52.3,-1,2390,2.9
0.28,446,13,0,0,0,39.2,2.9,1,0,0,0,1,55,27.1,-1,-1,-1,-1,-1,-1,-1,-1,3,0.25,6.9,7.5,6.2,27.07,11.33,1.8,235,20,95,28,70.7,-1,2432,2.9
0.5,238,0,0,0,28,45.1,1.9,0,0,0,1,1,55,27.1,-1,-1,-1,-1,-1,-1,86,105,2.5,0.3,6.5,5.7,5,27.07,11.33,1.8,215,20,95,28,46.5,-1,2390,1.9
0.5,238,0,0,0,28,45.1,1.9,0,0,0,1,1,55,27.1,-1,-1,-1,-1,-1,-1,86,105,2.86,0.3,7.8,5.7,5,27.07,11.33,1.8,215,20,95,28,47.5,-1,2390,1.9
0.5,238,0,0,0,28,45.1,1.8,0,0,0,1,1,55,27.1,-1,-1,-1,-1,-1,-1,86,105,2.65,0.4,14.3,5.7,5,27.07,11.33,1.8,215,20,95,28,46.2,-1,2390,1.8
0.48,235,0,0,0,32,46,1.9,0,0,0,1,1,54.1,26.7,-1,-1,-1,-1,-1,-1,82,103,2.84,0.33,3.9,8,4.9,28.1,10.37,1.8,230,20,95,28,36,-1,2400,1.9
0.48,235,0,0,0,32,46,2.45,0,0,0,1,1,54.1,26.7,-1,-1,-1,-1,-1,-1,82,103,2.5,0.55,16.1,8,4.9,28.1,10.37,1.8,230,20,95,28,44.1,-1,2400,2.45
